"Source";"Target";"Type";"Year"
27223;25431;"Directed";1987
27223;26917;"Directed";1987
27223;3728;"Directed";1987
27223;33162;"Directed";1987
27223;36131;"Directed";1987
27223;13628;"Directed";1987
27223;34054;"Directed";1987
27223;27549;"Directed";1987
27223;7979;"Directed";1987
27223;23401;"Directed";1987
27223;13339;"Directed";1987
27223;21495;"Directed";1987
27223;9310;"Directed";1987
27223;31400;"Directed";1987
27223;19853;"Directed";1987
27223;12757;"Directed";1987
27223;18784;"Directed";1987
27223;10450;"Directed";1987
27223;33371;"Directed";1987
27223;25319;"Directed";1987
27223;29348;"Directed";1987
27223;33783;"Directed";1987
27223;8691;"Directed";1987
27223;4931;"Directed";1987
27223;35865;"Directed";1987
1893;5004;"Directed";1990
1893;37043;"Directed";1990
1893;10042;"Directed";1990
1893;16807;"Directed";1990
1893;15452;"Directed";1990
1893;20308;"Directed";1990
1893;3781;"Directed";1990
1893;5917;"Directed";1990
1893;25696;"Directed";1990
1893;1967;"Directed";1990
1893;14778;"Directed";1990
1893;8539;"Directed";1990
1893;5246;"Directed";1990
1893;36723;"Directed";1990
1893;15247;"Directed";1990
1893;8228;"Directed";1990
1893;33068;"Directed";1990
1893;14075;"Directed";1990
1893;24691;"Directed";1990
1893;33011;"Directed";1990
1893;23401;"Directed";1990
1893;27214;"Directed";1990
1893;26420;"Directed";1990
1893;25189;"Directed";1990
1893;16346;"Directed";1990
1893;35774;"Directed";1990
1893;28969;"Directed";1990
1893;12766;"Directed";1990
1893;36829;"Directed";1990
1893;5745;"Directed";1990
34022;25160;"Directed";1989
34022;36170;"Directed";1989
34022;26400;"Directed";1989
34022;25766;"Directed";1989
34022;17278;"Directed";1989
34022;26084;"Directed";1989
34022;28178;"Directed";1989
34022;31822;"Directed";1989
34022;13681;"Directed";1989
34022;17100;"Directed";1989
34022;10199;"Directed";1989
34022;25407;"Directed";1989
34022;35903;"Directed";1989
34022;16279;"Directed";1989
34022;20576;"Directed";1989
34022;13109;"Directed";1989
34022;26107;"Directed";1989
34022;2371;"Directed";1989
